계수,이름,도면층,블록 단위,색상,위치 X,위치 Y,위치 Z,주석,회전,각도,길이,끝 X,끝 Y,끝 Z,델타 X,델타 Y,델타 Z,시작 X,시작 Y,시작 Z,면적,반지름,시작 각도,전체 각도,중심점 X,중심점 Y,중심점 Z
1,호,DR,,ByLayer,,,,,,,1.53,,,,,,,,,,0.26,1.00,92.58,87.42,12.55,12.42,0.00
1,doorBlock,DR,미터,ByLayer,8.30,12.42,0.00,,180.00,,,,,,,,,,,,,,,,,,
1,선,DR,,ByLayer,,,,,,90.00,1.00,12.55,11.42,0.00,0.00,-1.00,0.00,12.55,12.42,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,180.00,0.05,12.50,11.42,0.00,-0.05,0.00,0.00,12.55,11.42,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,90.00,1.00,12.50,12.42,0.00,0.00,1.00,0.00,12.50,11.42,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,0.00,0.05,22.31,12.42,0.00,0.05,0.00,0.00,22.26,12.42,0.00,,,,,,,
1,호,DR,,ByLayer,,,,,,,1.53,,,,,,,,,,0.26,1.00,92.58,87.42,22.31,12.42,0.00
1,doorBlock,DR,미터,ByLayer,18.08,12.42,0.00,,180.00,,,,,,,,,,,,,,,,,,
1,선,DR,,ByLayer,,,,,,90.00,1.00,22.31,11.42,0.00,0.00,-1.00,0.00,22.31,12.42,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,180.00,0.05,22.26,11.42,0.00,-0.05,0.00,0.00,22.31,11.42,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,90.00,1.00,22.26,12.42,0.00,0.00,1.00,0.00,22.26,11.42,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,0.00,0.05,19.08,12.42,0.00,0.05,0.00,0.00,19.03,12.42,0.00,,,,,,,
1,호,DR,,ByLayer,,,,,,,1.53,,,,,,,,,,0.26,1.00,92.58,87.42,19.08,12.42,0.00
1,doorBlock,DR,미터,ByLayer,14.82,12.42,0.00,,180.00,,,,,,,,,,,,,,,,,,
1,선,DR,,ByLayer,,,,,,90.00,1.00,19.08,11.42,0.00,0.00,-1.00,0.00,19.08,12.42,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,180.00,0.05,19.03,11.42,0.00,-0.05,0.00,0.00,19.08,11.42,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,90.00,1.00,19.03,12.42,0.00,0.00,1.00,0.00,19.03,11.42,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,90.00,6.96,51.52,12.32,0.00,0.00,6.96,0.00,51.52,5.36,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,270.00,6.96,48.47,5.36,0.00,0.00,-6.96,0.00,48.47,12.32,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,90.00,6.96,48.27,12.32,0.00,0.00,6.96,0.00,48.27,5.36,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,270.00,6.96,54.97,5.36,0.00,0.00,-6.96,0.00,54.97,12.32,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,90.00,6.96,54.77,12.32,0.00,0.00,6.96,0.00,54.77,5.36,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,270.00,6.96,51.72,5.36,0.00,0.00,-6.96,0.00,51.72,12.32,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,90.00,6.96,41.77,12.32,0.00,0.00,6.96,0.00,41.77,5.36,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,270.00,6.96,38.72,5.36,0.00,0.00,-6.96,0.00,38.72,12.32,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,90.00,6.96,38.52,12.32,0.00,0.00,6.96,0.00,38.52,5.36,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,270.00,6.96,45.22,5.36,0.00,0.00,-6.96,0.00,45.22,12.32,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,90.00,6.96,45.02,12.32,0.00,0.00,6.96,0.00,45.02,5.36,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,270.00,6.96,41.97,5.36,0.00,0.00,-6.96,0.00,41.97,12.32,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,270.00,8.58,35.49,16.15,0.00,0.00,-8.58,0.00,35.49,24.73,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,0.00,3.24,35.49,19.64,0.00,3.24,0.00,0.00,32.26,19.64,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,0.00,3.24,35.49,19.44,0.00,3.24,0.00,0.00,32.26,19.44,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,180.00,3.44,25.93,21.29,0.00,-3.44,0.00,0.00,29.36,21.29,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,0.00,3.44,29.36,21.49,0.00,3.44,0.00,0.00,25.93,21.49,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,90.00,8.58,35.69,24.73,0.00,0.00,8.58,0.00,35.69,16.15,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,270.00,8.58,51.52,16.15,0.00,0.00,-8.58,0.00,51.52,24.73,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,270.00,6.96,58.21,5.36,0.00,0.00,-6.96,0.00,58.21,12.32,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,270.00,6.96,58.01,5.36,0.00,0.00,-6.96,0.00,58.01,12.32,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,90.00,8.58,58.21,24.73,0.00,0.00,8.58,0.00,58.21,16.15,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,270.00,8.58,58.01,16.15,0.00,0.00,-8.58,0.00,58.01,24.73,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,90.00,8.58,51.72,24.73,0.00,0.00,8.58,0.00,51.72,16.15,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,270.00,6.96,12.73,5.36,0.00,0.00,-6.96,0.00,12.73,12.32,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,90.00,6.96,9.68,12.32,0.00,0.00,6.96,0.00,9.68,5.36,0.00,,,,,,,
